Date,Open,High,Low,Close,Vol.
2013-09-08,129,129.9,124.1,126.3,7.35K
2013-09-09,126.3,137.5,124,133.1,29.69K
2013-09-10,133.1,136,131.4,132.6,8.88K
2013-09-11,132.6,145.9,127.5,142.1,41.56K
2013-09-12,142.1,145.5,137.5,139.4,20.53K
2013-09-13,139.4,145.6,137.8,140.7,20.12K
2013-09-14,140.7,142,136.5,136.7,8.90K
2013-09-15,136.7,141,135,138.3,6.44K
2013-09-16,138.3,142.2,137.9,139.4,10.61K
2013-09-17,139.4,141.4,138,139.1,9.64K
2013-09-18,139.1,142,139,140.4,9.49K
2013-09-19,140.4,141.2,131.1,135.1,21.02K
2013-09-20,135.1,137.3,131,133.8,11.05K
2013-09-21,133.8,136,132,134.4,5.09K
2013-09-22,134.4,135,131,134,5.89K
2013-09-23,134,135,132,133.4,6.00K
2013-09-24,133.4,136.6,132.5,134.8,8.58K
2013-09-25,134.8,138,134.7,135,9.52K
2013-09-26,135,139,134.7,137.1,6.54K
2013-09-27,137.1,142.7,134.8,138.9,27.14K
2013-09-28,138.9,143,138,142.5,13.66K
2013-09-29,142.5,145.8,141.4,143.9,18.10K
2013-09-30,143.9,145.8,138.1,141.9,14.63K
2013-10-01,141.9,144.4,139.4,140.3,9.57K
2013-10-02,140.3,141.9,109.7,123,111.32K
2013-10-03,123,132,120.1,131,35.27K
2013-10-04,131,139.8,128.5,136.8,18.51K
2013-10-05,136.8,138,135.3,136.7,5.00K
2013-10-06,136.7,138,134.1,137.8,4.89K
2013-10-07,137.8,139,135.1,135.8,7.36K
2013-10-08,135.8,137.8,135.6,136.5,5.23K
2013-10-09,136.5,142.1,135.8,139.5,17.49K
2013-10-10,139.5,141.7,138.5,140.4,11.08K
2013-10-11,140.4,141.9,138.9,140.1,7.25K
2013-10-12,140.1,143.1,139.4,142.9,11.02K
2013-10-13,142.9,147.6,141.5,147.5,16.17K
2013-10-14,147.5,153.7,146,151.4,29.99K
2013-10-15,151.4,158.1,150.6,158.1,15.73K
2013-10-16,158.1,163,144.2,152.8,42.78K
2013-10-17,152.8,159.9,150.8,157.6,15.88K
2013-10-18,157.6,168.3,156.5,168.3,25.89K
2013-10-19,168.3,195.8,167.1,183.1,55.28K
2013-10-20,183.1,186.1,177.2,186.1,11.42K
2013-10-21,186.1,197.4,183.2,192.8,24.10K
2013-10-22,192.8,205.5,192.8,203,33.87K
2013-10-23,203,228,200.7,228,39.90K
2013-10-24,228,233.4,175.3,207,96.75K
2013-10-25,207,209,176.6,197.9,36.75K
2013-10-26,197.9,198.4,187,188.6,12.09K
2013-10-27,188.6,207.8,188.9,206.9,13.16K
2013-10-28,206.9,209.8,200.4,206.9,11.07K
2013-10-29,206.9,216.5,204.2,216,10.02K
2013-10-30,216,216.5,204,208,13.47K
2013-10-31,208,215,205.4,211.2,5.29K
2013-11-01,211.2,214.9,209.7,213.4,5.88K
2013-11-02,213.4,214.9,211,211.7,4.88K
2013-11-03,211.7,226.9,212.1,224,12.27K
2013-11-04,224,239,221.9,238.2,18.06K
2013-11-05,238.2,258.9,229,251.3,45.10K
2013-11-06,251.3,272.5,251.4,264.1,38.82K
2013-11-07,264.1,324.2,263.6,309.6,86.13K
2013-11-08,309.6,358,308,355,44.63K
2013-11-09,355,395,340,367.8,49.91K
2013-11-10,367.8,372.5,290,336.3,74.25K
2013-11-11,336.3,376,321.4,363,18.00K
